seg_link,loc,loc_name,loc_zn,loc_seg,design,operating,tsq,oac,it,flow_ind,all_qty
View,400462,ATMOS KY/TGP DANVILLE KY BOYLE,02,187,25681,25681,2349,23332,N,D,Y
View,400463,SCOTTVIL/TGP SCOTTSVILLE KY ALLEN,02,187,11213,11213,380,10833,N,D,Y
View,400467,CLARKSVL/TGP CLARKSVILLE TN CHEATHA,01,163,61176,61176,13296,47880,N,D,Y
View,400480,COL GAS/TGP BRINKER OH COLUMBIANA,04,214,65592,65592,0,65592,N,D,Y
View,400483,NFG/TGP PETTIS PA CRAWFORD,04,219,62404,62404,791,61613,N,D,Y
View,400484,EVRSRC/TGP AGAWAM MASS HAMPDEN,06,261,120614,120614,78963,41651,Y,D,Y
View,400485,HEBRON STORAGE INJECTION POTTER,04,398,306839,306839,12021,294818,N,D,Y
View,401464,CPTENTEX/TGP BALLARD LAWRENCE,01,534,20,20,0,20,N,D,Y
View,401482,CPTENTEX/TGP HUDSON CHICKEN FARM LA,01,534,520,520,0,520,N,D,Y
View,405367,TGP/SNG BEAR CREEK INJECTION BIENVI,01,141,200627,200627,6790,193837,Y,BD,Y
View,410902,TRANSCAN/TGP UDP NIAGARA RIVER NIAG,05,296,200483,200483,18024,182459,Y,BD,Y
View,411159,ENTRPRSE/TGP KATY DEHY TRANS WALLER,00,117,169416,169416,0,169416,N,BD,Y
View,411306,ENTRPRSE/TGP AGUA DULCE NUECES,00,101,294678,294678,0,294678,N,BD,Y
View,412002,ANR/TGP CHALKLEY TRANSPORT JEFFERSO,L,905,0,0,0,0,N,BD,Y
View,412013,ENTRPRSE/TGP SABINE RIVER TRANS NEW,L,820,257258,257258,0,257258,N,BD,Y
View,412036,REGENCY/TGP BEAR CREEK TRANSPORT BI,01,141,119155,119155,0,119155,N,BD,Y
View,412062,BANHUB/TGP BANQUETE TRANSPORT NUECE,00,101,182450,182450,53392,129058,N,BD,Y
