seg_link,loc,loc_name,loc_zn,loc_seg,design,operating,tsq,oac,it,flow_ind,all_qty
View,4153,PGLC/NGPL 138TH ST COOK,06,32,22050,22050,0,0,N,D,Y
View,4156,PGLC/NGPL O&#39;HARE #1 COOK,06,30,86641,86641,0,0,N,D,Y
View,4166,PGLC/NGPL O&#39;HARE #2 COOK,06,30,86384,86384,0,0,N,D,Y
View,4186,NIPSCO/NGPL HEGEWISCH COOK,06,32,72000,72000,0,0,N,D,Y
View,4187,NIPSCO/NGPL LANSING COOK,06,33,649000,649000,0,0,N,D,Y
View,4189,NIPSCO/NGPL 134TH ST COOK,06,32,71750,71750,0,0,N,D,Y
View,4219,NICORGAS/NGPL COM ED #9 WILL,06,32,20100,20100,0,0,N,D,Y
View,4226,NICORGAS/NGPL METRO SAN DIST COOK,06,31,640,640,0,0,N,D,Y
View,4818,WILDORAD/NGPL RA,01,8,3580,3580,0,3580,N,D,Y
View,4879,AMER IL/NGPL MATTOON DOUGLAS,06,28,32400,32400,0,0,N,D,Y
View,5003,OASIS/NGPL WARD,01,9,100000,100000,0,100000,N,D,Y
View,5381,PHILLIPS/NGPL HERRING HUTCHINSON,02,6,5721,5721,0,5721,N,D,Y
View,5382,WTG/NGPL HUTCHIN,02,6,648,648,11,637,N,D,Y
View,5418,SSC GPL/NGPL FOR,02,11,180000,180000,1100,178900,N,BD,Y
View,5579,KMTP/NGPL GOODRICH POLK,03,26,262000,262000,163100,98900,Y,BD,Y
View,5593,BHSC/NGPL LINCOLN OTOE,06,12,144000,144000,0,0,N,D,Y
View,6100,ANR/NGPL SOUTH WOODSTOCK MC HENRY,06,37,174931,1,0,1,N,BD,Y
View,6216,KMTP/NGPL HAGIST RANCH DUVAL,04,21,190969,1,0,1,N,BD,Y
View,6231,KMTEJAS/NGPL EDNA JACKSON,04,22,784001,784001,0,784001,N,D,Y
View,6295,CNTRPT/NGPL WESTON LAKES FORT BEND,04,22,3600,3600,397,3203,N,D,Y
View,7866,NO SHORE/NGPL TONNE RD COOK,06,30,198920,198920,0,0,N,D,Y
View,7869,PGLC/NGPL STEEL MET COOK,06,33,240,240,0,0,N,D,Y
View,7936,FGT/NGPL VERMILI,05,24,313137,150000,22338,127662,N,D,Y
View,8021,GPC/NGPL MUSCATI,06,14,38609,38609,22054,16555,N,D,Y
View,9252,NEB CITY/NGPL CDP,06,12,0,17390,750,16640,N,D,Y
View,9254,NO SHORE/NGPL CDP,06,30,0,284222,22617,261605,N,D,Y
View,9258,NICORGAS/NGPL CDP,06,28,0,2763444,922524,1840920,N,D,Y
