seg_link,loc,loc_name,loc_zn,loc_seg,design,operating,tsq,oac,it,flow_ind,all_qty
View,1790,OXY/NGPL FUEL GAS #2 EDDY,01,7,9285,9285,0,9285,N,D,Y
View,1791,DCP OPER/NGPL FUEL GAS EDDY,01,7,9255,9255,0,9255,N,D,Y
View,2927,KMTEJAS/NGPL MON,04,22,316157,316157,0,316157,N,BD,Y
View,2965,NICORGAS/NGPL FARMER CITY PIATT,06,28,78190,78190,0,0,N,D,Y
View,3063,KGS/NGPL FORD,02,11,117562,117562,0,117562,N,BD,Y
View,3083,EPNG/NGPL JAL LEA,01,9,335962,170000,26646,143354,N,D,Y
View,3352,ETP/NGPL BECKVILLE PANOLA,03,26,300000,300000,0,300000,N,BD,Y
View,3592,SABPL/NGPL HENRY HUB VERMILION,05,24,500000,500000,472702,27298,N,BD,Y
View,3618,FGT/NGPL JEFFERS,03,25,51000,51000,1092,49908,N,D,Y
View,3644,KMTEJAS/NGPL BECKVILLE PANOLA,03,26,52169,52169,0,52169,N,BD,Y
View,3697,IPC/NGPL PINE BLUFF SALINE,06,27,90426,90426,0,90426,N,D,Y
View,3734,WISC ELE/NGPL LA,06,39,184370,184370,0,184370,N,D,Y
View,3817,MB HUB/NGPL MOSS  BLUFF LIBERTY,03,25,470475,470475,0,470475,N,BD,Y
View,3857,PGLC/NGPL MANLOVE PIATT,06,28,463360,463360,0,0,N,D,Y
View,3886,BANHUB/NGPL BANQUETE   HUB    BI-DI,04,20,200000,200000,0,200000,N,BD,Y
View,3950,MIDAMER/NGPL DES MOINES WARREN,06,13,125000,125000,0,0,N,D,Y
View,3952,VALMSC/NGPL CART,03,15,40000,40000,12884,27116,Y,D,Y
View,4100,NICORGAS/NGPL STREAMWOOD COOK,06,30,86726,86726,0,0,N,D,Y
View,4101,NICORGAS/NGPL HAMMES AVE WILL,06,31,43060,43060,0,0,N,D,Y
View,4102,NICORGAS/NGPL MOUND ROAD WILL,06,32,48100,48100,0,0,N,D,Y
View,4103,NICORGAS/NGPL CICERO AVE COOK,06,31,55180,55180,0,0,N,D,Y
View,4109,NICORGAS/NGPL WEBER ROAD WILL,06,31,229081,229081,0,0,N,D,Y
View,4111,NICORGAS/NGPL GOUGAR ROAD WILL,06,32,52360,52360,0,0,N,D,Y
View,4115,NICORGAS/NGPL CENTRAL AVE COOK,06,33,216760,216760,0,0,N,D,Y
View,4124,NICORGAS/NGPL WEST CHICAGO DU PAGE,06,30,237119,237119,0,0,N,D,Y
View,4130,NICORGAS/NGPL CHICAGO HEIGHTS COOK,06,32,83340,83340,0,0,N,D,Y
View,4131,NICORGAS/NGPL PARK RIDGE COOK,06,30,545963,545963,0,0,N,D,Y
View,4132,NICORGAS/NGPL LAWNDALE AVE COOK,06,31,170360,170360,0,0,N,D,Y
View,4134,NICORGAS/NGPL CALDWELL AVE COOK,06,30,241383,241383,0,0,N,D,Y
View,4142,NICORGAS/NGPL SKOKIE RD COOK,06,30,546750,546750,0,0,N,D,Y
View,4143,NICORGAS/NGPL RIVERDALE COOK,06,32,55400,55400,0,0,N,D,Y
View,4151,PGLC/NGPL ORAM RD EMERG INTER WILL,06,33,128750,128750,0,0,N,D,Y
